source,target,tgt_lng
"アナイアレーター","歼灭者","zh-CN"
"アニマポカリプス","幻灵启示录","zh-CN"
"ヴェインのクロマブレード","薇恩的炫彩战刃","zh-CN"
"エコー バットブレード","回响蝠刃","zh-CN"
"オムニウェポン","幻灵合体至尊炮","zh-CN"
"ガイディング ヘックス","附灵飞弹","zh-CN"
"サイクロニック スライサー","旋风切割器","zh-CN"
"サベージスライサー","无情砍削","zh-CN"
"ソーラーエクリプス","日蚀之刻","zh-CN"
"バトルバニー クロスボウ","战兔十字弩","zh-CN"
"バニープライム バリスタ","战兔至尊弩炮","zh-CN"
"ポンコツプロトタイプ","泄露原型","zh-CN"
"ライオネスの悲嘆","雌狮之怨","zh-CN"
"レディアント フィールド","耀光力场","zh-CN"
"ロケットスワーム","火箭狂潮","zh-CN"
"急速冷凍","深度冻结","zh-CN"
"故障したプロトタイプ","破损原型","zh-CN"
"火花散るプロトタイプ","闪光原型","zh-CN"
"灼熱のショートボウ","炽烈短弓","zh-CN"
"獅子の嘆き","猛狮之殇","zh-CN"
"終わりなき旋風","不息气旋","zh-CN"
"触手スラム","触手重击","zh-CN"
"進化したエンバーショット","进化余烬射击","zh-CN"
"アサルトフレーム","进攻框架","zh-CN"
"ヴォイド係数","虚空系数","zh-CN"
"サポートフレーム","支援框架","zh-CN"
"ダブルタップ","双发快射","zh-CN"
"タンクバスター","坦克克星","zh-CN"
"チューンアップ","调试","zh-CN"
"トリプルタップ","三连轰","zh-CN"
"ナノマシン","纳米机械","zh-CN"
"ハートシーカー","觅心者","zh-CN"
"ハートシーカー+","觅心者+","zh-CN"
"ハートシーカー++","觅心者++","zh-CN"
"パワーフレーム","动力框架","zh-CN"
"マークスマンフレーム","射手框架","zh-CN"
"メルトスルー","熔穿","zh-CN"
"リーチング インプラント","榨血植入","zh-CN"
"リーチング インプラント+","榨血植入+","zh-CN"
"レーザー弾道","镭射弹道","zh-CN"
"レーザー弾道+","镭射弹道+","zh-CN"
"レーザー弾道++","镭射弹道++","zh-CN"
"冷却材","冷却介质","zh-CN"
"冷却材+","冷却介质+","zh-CN"
"出力上昇","动力强化","zh-CN"
"出力上昇+","动力强化+","zh-CN"
"分裂","裂变","zh-CN"
"分裂+","裂变+","zh-CN"
"分裂++","裂变++","zh-CN"
"反応装甲","反应护甲","zh-CN"
"散弾","铅弹","zh-CN"
"散弾+","铅弹+","zh-CN"
"散弾++","铅弹++","zh-CN"
"斬裂弾","破甲弹","zh-CN"
"斬裂弾+","破甲弹+","zh-CN"
"潜在爆発","潜藏爆炸","zh-CN"
"照準補助","辅助瞄准","zh-CN"
"爆発範囲","爆炸范围","zh-CN"
"爆発範囲+","爆炸范围+","zh-CN"
"爆発範囲++","爆炸范围++","zh-CN"
"破片弾","分裂弹","zh-CN"
"破片弾+","分裂弹+","zh-CN"
"精密スコープ","精密准镜","zh-CN"
"精密スコープ+","精密准镜+","zh-CN"
"精密スコープ++","精密准镜++","zh-CN"
"絶対質量","纯粹质量","zh-CN"
"緊急シールド","紧急护盾","zh-CN"
"緊急シールド+","紧急护盾+","zh-CN"
"耐久フレーム","加固框架","zh-CN"
"衝撃波","冲击波","zh-CN"
"誘爆","共鸣引爆","zh-CN"
"貫通弾","穿甲弹","zh-CN"
"貫通弾+","穿甲弹+","zh-CN"
"重力ブースター","重力助推器","zh-CN"
"重力ブースター+","重力助推器+","zh-CN"
"重装甲","重型镀层","zh-CN"
"集束装置","阻塞","zh-CN"
"ターゲットロック スコープ","锁敌光学设备","zh-CN"
"ドローン アップリンク","无人机上行链路","zh-CN"
"バイオ物質保存装置","生物质维护器","zh-CN"
"マルウェア マトリックス","恶意软件矩阵","zh-CN"
"共感インプラント","共感植入","zh-CN"
"半導体","半导体装置","zh-CN"
"アーリのオーラ","阿狸的光环","zh-CN"
"イブリンの直感","伊芙琳的本能","zh-CN"
"インフィニティ フォース","三相之力","zh-CN"
"ヴァルスの執念","韦鲁斯的执念","zh-CN"
"ウィッツ エンド","智慧末刃","zh-CN"
"ヴォイド ガントレット","虚空护手","zh-CN"
"エコーの忍耐","艾克的耐心","zh-CN"
"ギャンブラーの剣","投机者之刃","zh-CN"
"ケイルの天昇","凯尔的崇拜","zh-CN"
"ゴールド コレクター","金币收集者","zh-CN"
"シーカー アームガード","探索者的护臂","zh-CN"
"シルバーミアの夜明け","密银黎明","zh-CN"
"スタティック シヴ","斯塔缇克电刃","zh-CN"
"スナイパー フォーカス","狙击手的专注","zh-CN"
"スペクトラル カトラス","幽魂弯刀","zh-CN"
"スレッシュのランタン","锤石的灯笼","zh-CN"
"ゾーニャの遡時計","中娅悖论","zh-CN"
"ソラカの奇跡","索拉卡的奇迹","zh-CN"
"ソラリのロケット","钢铁烈阳之匣","zh-CN"
"タイタン ハイドラ","巨型九头蛇","zh-CN"
"ダイヤモンド ハンド","钻石之手","zh-CN"
"デス ディファイアンス","死亡之蔑","zh-CN"
"デスファイア グラスプ","冥火之拥","zh-CN"
"ドーンコア","黎明核心","zh-CN"
"トリックスターの鏡","诡术师之镜","zh-CN"
"ハルクラッシャー","碎舰者","zh-CN"
"フィッシュボーン","鱼骨头","zh-CN"
"フォビドゥン アイドル","禁忌雕像","zh-CN"
"フリッカーブレード","烁刃","zh-CN"
"プローラー クロウ","暗行者之爪","zh-CN"
"ホライゾン フォーカス","视界专注","zh-CN"
"マナザネ","魔蕴","zh-CN"
"ミトン","连指手套","zh-CN"
"モーグル メイル","大亨之铠","zh-CN"
"ヤスオのブレードワーク","亚索的剑艺","zh-CN"
"ライトシールドのクレスト","光盾徽章","zh-CN"
"ラピッド ファイアキャノン","疾射火炮","zh-CN"
"リッチ ベイン","巫妖之祸","zh-CN"
"ルーデン テンペスト","卢登的激荡","zh-CN"
"不屈","顽强不屈","zh-CN"
"不滅の協定","永恒契约","zh-CN"
"冷酷なるジークの使者","基克的阴森先驱","zh-CN"
"劣化版鏡像のペルソナ","次级镜像人格面具","zh-CN"
"夕闇の加護","黄昏圣盾","zh-CN"
"夜明けの加護","黎明圣盾","zh-CN"
"帽子ジュース","帽子饮品","zh-CN"
"影の操り人形","暗影木偶","zh-CN"
"心身統御のペンダント","激发之匣","zh-CN"
"怪しげなトレンチコート","迷离风衣","zh-CN"
"枯死の宝石","枯萎珠宝","zh-CN"
"永遠の冬","永恒凛冬","zh-CN"
"獄炎のハチェット","恶火小斧","zh-CN"
"癒しのこだま","修复型回响","zh-CN"
"穢れたヴァンパイア セプター","黑暗吸血鬼节杖","zh-CN"
"終わりなき絶望","无终恨意","zh-CN"
"超越のタリスマン","飞升护符","zh-CN"
"鍛冶師のグローブ","铁匠手套","zh-CN"
"鏡像のペルソナ","镜像人格面具","zh-CN"
"ケイルの暁光の天昇","凯尔的光明崇拜","zh-CN"
"レディアント アークエンジェル スタッフ","光明版大天使之杖","zh-CN"
"レディアント アイオニック スパーク","光明版离子火花","zh-CN"
"レディアント アダプティブ ヘルム","光明版适应性头盔","zh-CN"
"レディアント イーブンシュラウド","光明版薄暮法袍","zh-CN"
"レディアント インフィニティ エッジ","光明版无尽之刃","zh-CN"
"レディアント ヴォイド スタッフ","光明版虚空之杖","zh-CN"
"レディアント ガーゴイル ストーンプレート","光明版石像鬼石板甲","zh-CN"
"レディアント クイックシルバー","光明版水银","zh-CN"
"レディアント グインソー レイジブレード","光明版鬼索的狂暴之刃","zh-CN"
"レディアント クラーケンの怒り","光明版海妖之怒","zh-CN"
"レディアント クラウンガード","光明版冕卫","zh-CN"
"レディアント サンファイア ケープ","光明版日炎斗篷","zh-CN"
"レディアント ジャイアント スレイヤー","光明版巨人杀手","zh-CN"
"レディアント ジュエル ガントレット","光明版珠光护手","zh-CN"
"レディアント ショウジンの矛","光明版朔极之矛","zh-CN"
"レディアント ステラックの篭手","光明版斯特拉克的挑战护手","zh-CN"
"レディアント ストライカー フレイル","光明版强袭者的链枷","zh-CN"
"レディアント スピリット ビサージュ","光明版振奋盔甲","zh-CN"
"レディアント デスブレード","光明版死亡之刃","zh-CN"
"レディアント ドラゴン クロウ","光明版巨龙之爪","zh-CN"
"レディアント ナイト エッジ","光明版夜之锋刃","zh-CN"
"レディアント ナッシャー トゥース","光明版纳什之牙","zh-CN"
"レディアント ハンド オブ ジャスティス","光明版正义之手","zh-CN"
"レディアント ブラッドサースター","光明版饮血剑","zh-CN"
"レディアント ブランブル ベスト","光明版棘刺背心","zh-CN"
"レディアント ブルーバフ","光明版蓝霸符","zh-CN"
"レディアント プロテクターの誓い","光明版圣盾使的誓约","zh-CN"
"レディアント ヘクステック ガンブレード","光明版海克斯科技枪刃","zh-CN"
"レディアント モレロノミコン","光明版莫雷洛秘典","zh-CN"
"レディアント ラスト ウィスパー","光明版最后的轻语","zh-CN"
"レディアント ラバドン デスキャップ","光明版灭世者的死亡之帽","zh-CN"
"レディアント レッドバフ","光明版红霸符","zh-CN"
"レディアント ワーモグ アーマー","光明版狂徒铠甲","zh-CN"
"レディアント 巨人の誓い","光明版泰坦的坚决","zh-CN"
"レディアント 揺るがぬ心","光明版坚定之心","zh-CN"
"レディアント 盗賊のグローブ","光明版窃贼手套","zh-CN"
"富の神","财富之神","zh-CN"
"富の分かち合い","联手致富","zh-CN"
"富の分かち合い＋","联手致富+","zh-CN"
"時の神","时间之神","zh-CN"
"スカトルパーティー","迅捷蟹派对","zh-CN"
"聖なる介入","神圣干预","zh-CN"
"祝福: 速度","赐福：速度","zh-CN"
"キャッシュフロー","现金流","zh-CN"
"秩序の神","秩序之神","zh-CN"
"深淵の神","深渊之神","zh-CN"
"太陽のマス","烈阳格","zh-CN"
"低温のマス","冰晶格","zh-CN"
"スターライトのマス","星光格","zh-CN"
"加速のマス","增速格","zh-CN"
"宇宙のマス","宇宙格","zh-CN"
"嵐のマス","风暴格","zh-CN"
"誘惑の神","诱惑之神","zh-CN"
"血の契約","猩红契约","zh-CN"
"こてんぱん","碾压之势","zh-CN"
"血の契約+","猩红契约+","zh-CN"
"こてんぱん＋","碾压之势+","zh-CN"
"血の契約++","猩红契约++","zh-CN"
"星々の神","众星之神","zh-CN"
"一緒が一番","在一起更好","zh-CN"
"祝福: サイズ","赐福：体型","zh-CN"
"一緒が一番＋","在一起更好+","zh-CN"
"愛の神","爱神","zh-CN"
"恋人＋","恋人+","zh-CN"
"複製セット","复制器大礼包","zh-CN"
"驚異の神","造物之神","zh-CN"
"資金クエスト","财富探险","zh-CN"
"特性クエスト","羁绊探险","zh-CN"
"星のクエスト","星空探险","zh-CN"
"レベルクエスト","等级探险","zh-CN"
"体力低下クエスト","低生命值探险","zh-CN"
"リロールクエスト","刷新探险","zh-CN"
"契約の神","契约之神","zh-CN"
"ミステリー戦利品","神秘战利品","zh-CN"
"ランダム恩恵","随机恩赐","zh-CN"
"丁半勝負","掷骰赚金","zh-CN"
